Date,Open,Low,High,Close
01/01/1999,200,5,600,300
01/04/1999,113.63,111.57,113.98,112.04
01/05/1999,112.04,110.5,112.4,111.17
01/06/1999,111.17,111.5,113.48,113.01
01/07/1999,113.01,109.8,113,110.94
01/08/1999,110.94,110.55,112.1,110.89
01/11/1999,110.89,108.2,111,108.61
01/12/1999,108.61,108.7,112.8,112.48
01/13/1999,112.48,111.15,114.13,113.15
01/14/1999,113.15,112.8,114.43,113.43
01/15/1999,113.43,112.3,114.24,113.99
01/18/1999,113.99,113.3,115,114.2
01/19/1999,114.2,113.41,114.9,113.5
01/20/1999,113.5,112.81,114.07,112.86
01/21/1999,112.86,112.35,114.56,113.64
01/22/1999,113.64,113.6,114.78,114.67
01/25/1999,114.67,113.57,114.8,113.94
01/26/1999,113.94,113.3,114.3,113.95
01/27/1999,113.95,113.45,116.13,115.72
01/28/1999,115.72,115.2,116.84,116.39
01/29/1999,116.39,115.72,116.52,116.4
02/01/1999,116.4,114.96,115.95,115.07
02/02/1999,115.07,111.91,115.15,112.05
02/03/1999,112.05,111.75,113.01,112.83
02/04/1999,112.83,111.55,114,112.35
02/05/1999,112.35,111.35,113.72,113.22
02/08/1999,113.22,112.75,114.94,114.51
02/09/1999,114.51,114.05,114.9,114.38
02/10/1999,114.38,113.75,115.5,114.31
02/11/1999,114.31,113.6,114.82,114.58
02/12/1999,114.58,113.87,115.75,114.49
02/15/1999,114.49,113.8,115.9,115.45
02/16/1999,115.45,115.65,118.92,118.78
02/17/1999,118.78,118,119.22,119.1
02/18/1999,119.1,118.35,120.15,119.82
02/19/1999,119.82,119.4,121.16,121.08
02/22/1999,121.08,120.09,122.5,120.87
02/23/1999,120.87,119.85,121.91,120.91
02/24/1999,120.91,120.55,122.06,121.76
02/25/1999,121.76,119,120.8,119.64
02/26/1999,119.64,118.5,121.05,119.05
03/01/1999,119.05,118.9,119.94,119.74
03/02/1999,119.74,119.7,120.89,120.35
03/03/1999,120.35,120,121.89,121.76
03/04/1999,121.76,121.75,123.76,123.31
03/05/1999,123.31,122.04,123.55,122.63
03/08/1999,122.63,121.1,123.15,121.66
03/09/1999,121.66,120.65,122.05,120.91
03/10/1999,120.91,119.56,121.3,119.91
03/11/1999,119.91,118.56,120.95,119.32
03/12/1999,119.32,118.78,120.35,118.81
03/15/1999,118.81,117.34,119.4,117.7
03/16/1999,117.7,117.3,118.45,117.71
03/17/1999,117.71,117.2,119.15,118.01
03/18/1999,118.01,117.27,118.75,117.43
03/19/1999,117.43,116.9,117.75,117.23
03/22/1999,117.23,116.95,118.46,118.08
03/23/1999,118.08,117.79,118.75,118
03/24/1999,118,117.09,118.5,117.96
03/25/1999,117.96,117.75,118.35,118.09
03/26/1999,118.09,118,120.55,120.25
03/29/1999,120.25,119.62,120.55,120.12
03/30/1999,120.12,119.85,120.7,120.3
03/31/1999,120.3,118.13,120.9,119.01
04/01/1999,119.01,118.45,120.65,120.48
04/02/1999,120.48,120.35,120.8,120.43
04/05/1999,120.43,120.4,122.06,121.82
04/06/1999,121.82,120.63,121.8,120.72
04/07/1999,120.72,120.4,121.62,121.33
04/08/1999,121.33,120.34,121.55,121.39
04/09/1999,121.39,120.75,121.5,120.91
04/12/1999,120.91,119.76,120.9,120.18
04/13/1999,120.18,119.79,120.8,119.8
04/14/1999,119.8,118.57,119.9,118.62
04/15/1999,118.62,118.35,119.49,118.79
04/16/1999,118.79,117.45,119.15,117.75
04/19/1999,117.75,117.5,118.5,117.57
04/20/1999,117.57,117.53,118.99,118.85
04/21/1999,118.85,118.55,119.93,119.73
04/22/1999,119.73,119.41,120.4,119.5
04/23/1999,119.5,119.13,119.8,119.37
04/26/1999,119.37,118.7,119.58,119.27
04/27/1999,119.27,119.1,120.56,120.37
04/28/1999,120.37,118.35,120.25,119.23
04/29/1999,119.23,118.8,119.4,119.01
04/30/1999,119.01,118.95,119.96,119.39
05/03/1999,119.39,119.4,120.43,120.29
05/04/1999,120.29,120.2,121.34,120.83
05/05/1999,120.83,119.96,121.43,120.61
05/06/1999,120.61,119.85,121.09,120.44
05/07/1999,120.44,120.25,120.92,120.83
05/10/1999,120.83,120.32,121.29,120.51
05/11/1999,120.51,120.25,121.15,120.95
05/12/1999,120.95,120.29,121.64,120.91
05/13/1999,120.91,120.85,121.91,121.82
05/14/1999,121.82,121.49,122.79,122.75
05/17/1999,122.75,122.8,123.55,123.43
05/18/1999,123.43,122.65,123.65,123.18
05/19/1999,123.18,123.2,124.72,124.33
05/20/1999,124.33,123.84,124.75,124.37
05/21/1999,124.37,123.55,124.55,124
05/24/1999,124,122.91,124.35,123.2
05/25/1999,123.2,122.35,123.2,122.8
05/26/1999,122.8,121.6,122.45,122.07
05/27/1999,122.07,119.8,122.7,120.39
05/28/1999,120.39,120.2,121.75,121.45
05/31/1999,121.45,121.25,121.9,121.6
06/01/1999,121.6,120.34,121.9,120.56
06/02/1999,120.56,120.4,121.43,121.33
06/03/1999,121.33,120.95,121.95,121.65
06/04/1999,121.65,121.45,122.51,122.25
06/07/1999,122.25,120.55,122.45,120.77
06/08/1999,120.77,118.74,121.65,118.89
06/09/1999,118.89,118.6,119.6,118.89
06/10/1999,118.89,117.55,119.9,118.85
06/11/1999,118.85,117.88,119.1,118.07
06/14/1999,118.07,117.9,120.85,120.6
06/15/1999,120.6,120.2,120.78,120.4
06/16/1999,120.4,120.05,120.65,120.27
06/17/1999,120.27,119.15,120.4,119.16
06/18/1999,119.16,118.95,120.98,120.39
06/21/1999,120.39,120.6,122.51,122.47
06/22/1999,122.47,121.53,122.45,121.68
06/23/1999,121.68,121.7,122.3,121.7
06/24/1999,121.7,121.65,122.3,121.83
06/25/1999,121.83,121.13,122.05,121.4
06/28/1999,121.4,121,121.9,121.19
06/29/1999,121.19,120.78,121.65,121.08
06/30/1999,121.08,120.55,121.2,121.11
07/01/1999,121.11,120.56,121.49,120.78
07/02/1999,120.78,120.75,121.25,121.08
07/05/1999,121.08,120.95,122.85,122.4
07/06/1999,122.4,121.88,122.4,122
07/07/1999,122,121.9,122.28,122.18
07/08/1999,122.18,122.25,122.79,122.61
07/09/1999,122.61,122.06,122.7,122.4
07/12/1999,122.4,121.95,122.5,122.15
07/13/1999,122.15,121.14,122.2,121.33
07/14/1999,121.33,120.36,121.4,120.59
07/15/1999,120.59,120.25,121.2,120.83
07/16/1999,120.83,120.48,121.15,120.98
07/19/1999,120.98,117.7,121,117.79
07/20/1999,117.79,117.95,119.7,118.89
07/21/1999,118.89,118.07,119.6,118.15
07/22/1999,118.15,116.04,118.75,116.61
07/23/1999,116.61,116.13,117.35,116.55
07/26/1999,116.55,115.47,117.1,116.62
07/27/1999,116.62,116.16,117.35,116.34
07/28/1999,116.34,115.4,116.6,116.08
07/29/1999,116.08,114.91,116.1,115.46
07/30/1999,115.46,114.35,115.8,114.53
08/02/1999,114.53,113.95,114.95,114.26
08/03/1999,114.26,114.35,115.76,115.3
08/04/1999,115.3,114.07,115.35,114.36
08/05/1999,114.36,113.61,114.9,114.31
08/06/1999,114.31,114.25,114.95,114.75
08/09/1999,114.75,115,115.53,115.21
08/10/1999,115.21,114.41,115.4,114.87
08/11/1999,114.87,114.5,115.39,115.37
08/12/1999,115.37,115.4,116,115.58
08/13/1999,115.58,114.5,116.51,115.75
08/16/1999,115.75,114.65,115.9,114.7
08/17/1999,114.7,113.91,114.9,114.03
08/18/1999,114.03,111.62,114.3,111.98
08/19/1999,111.98,110.75,112.35,111.39
08/20/1999,111.39,111.06,112.1,111.28
08/23/1999,111.28,110.6,112.08,111.44
08/24/1999,111.44,110.66,112.8,110.77
08/25/1999,110.77,110.55,112.4,111.11
08/26/1999,111.11,110.8,111.88,111.57
08/27/1999,111.57,111.3,111.9,111.58
08/30/1999,111.58,110.57,111.27,110.72
08/31/1999,110.72,109.05,111.05,109.59
09/01/1999,109.59,108.67,109.8,109.05
09/02/1999,109.05,108.67,109.7,109.2
09/03/1999,109.2,109.1,110.52,110.05
09/06/1999,110.05,109.3,109.95,109.55
09/07/1999,109.55,109.4,111.4,110.85
09/08/1999,110.85,110.4,111.25,111.09
09/09/1999,111.09,107.55,111.15,107.88
09/10/1999,107.88,107.65,109.95,108.84
09/13/1999,108.84,106.1,109.1,106.47
09/14/1999,106.47,105.18,107.2,105.83
09/15/1999,105.83,103.2,106,104.24
09/16/1999,104.24,103.75,105.55,105.17
09/17/1999,105.17,104.8,107.38,106.92
09/20/1999,106.92,106.16,108.15,106.37
09/21/1999,106.37,103.79,107.35,104.85
09/22/1999,104.85,103.69,105.3,103.99
09/23/1999,103.99,103.45,104.61,104.11
09/24/1999,104.11,103.7,105.1,104.1
09/27/1999,104.1,103.9,106.5,105.92
09/28/1999,105.92,105.55,106.71,106.11
09/29/1999,106.11,106.1,107.25,106.99
09/30/1999,106.99,105.2,107.15,106.39
10/01/1999,106.39,104.8,106.35,104.93
10/04/1999,104.93,104.6,106.51,106.2
10/05/1999,106.2,105.9,107.19,106.49
10/06/1999,106.49,105.95,107.78,107.53
10/07/1999,107.53,107.15,107.95,107.44
10/08/1999,107.44,107,107.95,107.42
10/11/1999,107.42,106.6,107.45,106.85
10/12/1999,106.85,106.1,106.9,106.32
10/13/1999,106.32,105.95,107.98,106.57
10/14/1999,106.57,106.4,107.45,107.3
10/15/1999,107.3,105.18,107.6,105.31
10/18/1999,105.31,104.8,105.8,105.1
10/19/1999,105.1,105.16,105.92,105.21
10/20/1999,105.21,105.15,106.78,106.49
10/21/1999,106.49,105.76,106.6,105.87
10/22/1999,105.87,105.25,106.25,105.99
10/25/1999,105.99,105.21,106.2,105.33
10/26/1999,105.33,104.54,105.5,104.7
10/27/1999,104.7,103.7,104.9,104.4
10/28/1999,104.4,103.9,105.25,105.12
10/29/1999,105.12,103.92,105.25,104.2
11/01/1999,104.2,103.7,104.57,104.2
